0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,sasaSer,sasaLig
117,-11482.9132353,-17.9178937647,32.4131705882,32.1551411765,2.81401264706,1.58991294118,3.02399470588,0.00732352941176,0.6795205
118,-11652.552439,-48.6207723363,28.1007123235,28.5166620026,2.81804671374,1.58847976893,3.04910992298,0.00105648267009,0.329284784339
119,-11612.66262,-38.00803874,27.3403666,27.4833888,2.76568544,1.58697966,3.09212462,0.000276,0.4987301
120,-11584.8477612,-25.268525097,11.8510197761,11.5352326866,2.79303462687,1.56564320896,3.02573365672,0.00151492537313,0.498828380597
121,-11635.4183387,-40.6060706901,24.3553370607,25.2757693291,2.79949205538,1.57433189563,3.04055078807,0.000184238551651,0.502920487753
122,-11625.9213225,-58.8683499443,18.6786821346,15.9274280742,2.81995909513,1.58530935035,3.10552162413,0.0032494199536,0.430311933875
123,-11649.9215124,-58.5022616426,26.1199227901,26.8816747801,2.82094575199,1.58685676163,3.09962670297,0.00110766652702,0.386323760788
124,-11606.4575243,-37.2252967476,26.9453713592,27.4177116505,2.8069523301,1.58022970874,3.07791519417,0.00159708737864,0.569603237864
125,-11556.7286268,-34.0253319049,25.6339253521,24.9007066901,2.80552408451,1.58944278169,3.11756661972,0.000757042253521,0.582056570423
126,-11578.9789256,-20.3562511138,11.0068942562,11.1335710331,2.80919194215,1.57460128099,3.04667739669,0.000603305785124,0.566593780992
127,-11615.5081757,-28.6569618995,29.1272206081,28.6648709459,2.81422827703,1.58066668919,3.06837716216,0.00145608108108,0.530000435811
