0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_Ser_to_His,dist_SerH_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser238,dist_Ser238_2,dist_Ser238_3,dist_Ser238_4,dist_Ser238_5,dist_Ser238_6,dist_Ser238_to_His,dist_Ser238H_to_His,dist_His273_Asp,dist_His273_Asp2,sasaSer,sasaSer238,sasaLig
11,-11545.08634408602,-33.064693569892476,37.003689247311826,36.64259569892474,2.808511182795699,1.9199566666666668,1.5735331182795698,3.024943118279569,15.400219354838706,17.380424731182796,18.185777419354835,15.49551720430108,15.430779569892465,18.350794623655908,3.0111099999999986,2.0937576344086026,3.4317988172043017,1.5338238709677423,0.0030537634408602152,0.050666666666666665,0.5831150215053763
12,-11597.376566820276,-56.395327253456216,38.36719815668203,39.31131105990783,2.812879677419355,1.9227998847926266,1.5736981105990782,3.0521901612903224,11.113727995391706,16.137814976958527,17.22619237327189,10.442433179723501,14.934724654377879,16.993510829493086,3.044589516129032,2.1595759216589863,3.413856359447005,1.5405141705069123,0.0006244239631336405,0.0007165898617511522,0.4008987741935484
13,-11572.262665036675,-30.81511725403423,42.53662811735942,40.65476748166259,2.808318899755501,1.9187779951100243,1.5722660880195598,3.0571006601466992,16.813909217603914,20.19462665036675,19.123870904645475,16.84117674816626,21.22101540342298,20.60386748166259,2.9593217603911977,2.038761833740831,3.366879755501223,1.538285085574572,0.0010831295843520784,0.05272860635696822,0.5115052004889975
14,-11670.365321707757,-56.66539097053518,31.56482242934456,27.92709831629585,2.810819957907396,1.916427558628984,1.5830552194828622,3.1191056103427544,10.498003962717979,7.836027197835238,4.61960134696332,8.714102760072159,8.279869224293446,7.272778634996994,2.9366182200841853,2.016376127480457,3.400841485267588,1.5470212026458205,0.000269993986770896,0.001512327119663259,0.348654966325917
15,-11645.22456043956,-78.33466636630037,28.44102606837607,27.868959584859585,2.8137072222222224,1.922503308913309,1.5739907326007327,3.065651288156288,11.437185989010988,9.945945415140416,7.132151898656899,9.764592295482297,10.467724059829061,10.446462515262516,2.8683960317460313,1.9251501953601955,3.440726166056166,1.5347533882783884,0.00035775335775335774,0.044086080586080593,0.403223626984127
16,-11592.073496855346,-42.84472494415094,34.028501635220124,33.82231245283019,2.784318377358491,1.8877199748427673,1.5685986540880503,3.053478754716981,17.449628050314466,18.798821886792453,20.61335672955975,18.922915849056604,21.366316855345907,23.51584968553459,3.044088503144654,2.1248509811320755,3.4204957484276735,1.5367913081761004,0.000169811320754717,0.04459119496855345,0.43517662389937106
17,-11497.835000000003,-17.186906413793103,36.25480862068966,36.13379482758621,2.8077505172413795,1.919386896551724,1.570956724137931,3.009786724137931,14.863134655172415,14.38084275862069,14.12940431034483,14.498323103448273,14.16649724137931,14.405752931034485,3.0133831034482754,2.107526206896552,3.4123103448275867,1.5328677586206896,0.003724137931034483,0.005344827586206896,0.5932711896551726
18,-11648.922923819742,-68.61453471030042,35.48662655579399,32.56519248927039,2.8024534495708155,1.9044237017167382,1.5833669098712446,3.1235339860515023,13.470925268240343,18.337454238197424,18.60574844420601,12.322882081545066,17.669314538626608,19.675776877682402,2.8497691791845496,1.906314120171674,3.300692011802575,1.5494160032188842,0.0001351931330472103,0.038877145922746784,0.4640874222103004
19,-11641.114406210658,-105.76731785984053,32.07983890054553,30.73427331095258,2.807089232060428,1.9126384389425095,1.5817609441879983,3.122761414183802,7.87821337809484,13.26283852287033,14.501445530843478,8.366819253042383,10.873140704993707,14.535529458665549,3.0593050314729333,2.137968577423416,3.536891393201846,1.5262923583718004,6.378514477549307e-05,0.09018506084767099,0.35757854301300884
20,-11633.784437669376,-75.40598724254743,34.84259430894309,35.70621185636857,2.805182466124661,1.9141268428184282,1.5706913346883467,3.0446357926829264,20.877322222222222,19.48637743902439,18.866620460704606,19.67485304878049,15.936179945799458,12.289761111111114,3.0701193021680213,2.1487495392953933,3.4811978794037937,1.5299899051490513,8.875338753387535e-05,0.03989092140921409,0.47750390311653124
