0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_activesite4,dist_activesite5,dist_activesite6,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,sasaSer,sasaLig
2,-11643.28431372549,-43.215707908340875,22.343168778280543,19.324199095022625,22.21543725490196,19.64952609351433,18.62957586726999,15.810827752639517,2.813064766214178,1.586247315233786,3.1032139819004527,0.000957767722473605,0.43774812217194564
3,-11581.560909090907,-30.456582381818173,32.767774545454536,32.60161454545454,31.10072545454546,30.46586,32.41830909090909,32.5516090909091,2.8149412727272733,1.5834318181818186,3.0600619999999985,0.0030181818181818187,0.5575655090909092
4,-11516.433636363634,-16.174309145454544,32.22515090909091,31.413703636363635,30.705792727272723,29.43461636363636,30.747774545454547,30.353925454545454,2.820055818181818,1.578032545454545,3.042217818181818,0.003945454545454546,0.6538304909090908
5,-11560.397567567567,-15.983715168918916,27.407406756756757,27.19565945945946,27.81600810810811,27.43915675675676,27.829017567567572,27.706232432432433,2.818094189189189,1.5829786486486486,3.0299935135135128,0.0044054054054054066,0.6623232837837839
6,-11678.59,-58.336208113139456,8.752752245970568,10.236691702873161,8.705296114225648,10.429732277505256,12.61509554660126,12.476545816398037,2.77580110721794,1.5627546566222845,3.0338030728801684,9.95094604064471e-05,0.36783036685353887
7,-11607.905555555555,-28.41289533333333,27.142806432748536,26.766090643274854,25.876149707602334,25.015554385964908,26.884530994152044,26.762352631578942,2.8222656725146202,1.5930872514619883,3.074315087719298,0.0016432748538011696,0.4944688713450293
8,-11688.175488069415,-51.40488574303687,25.651825379609544,23.286349110629065,23.346991887201735,20.191523167028198,20.48913180043384,20.048778221258132,2.802718060737527,1.5776047028199565,3.088871080260304,0.0005496746203904557,0.42670470585683296
9,-11572.609444444444,-13.666242333333333,39.435590000000005,39.642385555555556,37.534058888888886,37.38884555555556,39.43698555555555,39.931328888888885,2.8124505555555555,1.5785588888888886,3.0729797777777774,0.0014444444444444446,0.5913646555555556
10,-11675.266603053436,-56.29097137938932,23.197425445292616,21.03663129770992,26.435866157760813,24.778999618320615,21.666553562340972,20.091382824427484,2.8217343511450386,1.60914320610687,3.144807913486005,0.0013320610687022902,0.40497318193384224
11,-11651.966845448129,-61.2432303768525,18.47968207480593,18.645308186309105,23.314932745236412,24.349264714184898,22.288529851799577,18.410081580804516,2.8160770359915315,1.5871587438249823,3.1139839520112917,0.0009724770642201836,0.4132958285109386
12,-11628.178399487837,-42.52057514606274,18.227852176696544,18.234703841229194,14.677660460947504,12.898440717029448,16.63764577464789,16.17661280409731,2.802234314980794,1.5806325672215111,3.093088188220231,0.0009398207426376443,0.4040203463508322
13,-11636.326308139534,-39.847744412790696,29.42076191860465,28.14496860465116,29.455180232558135,28.66209622093023,30.51554331395349,29.95330087209302,2.8213907267441862,1.5851329360465114,3.101446104651163,0.001302325581395349,0.45856920348837216
14,-11667.218113772455,-44.24787589520958,27.40685299401198,26.03069236526946,28.229966616766472,27.451181736526944,29.89797380239521,28.784254940119755,2.8048143562874253,1.5839281287425149,3.0761280538922158,0.0005703592814371258,0.48020204491017976
