0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His129_Asp,dist_His129_Asp2,dist_His129_Glu,dist_His129_Glu2,sasaSer,sasaSer133,sasaLig
19,-11707.621314183123,-54.94631371989228,29.58044800718133,26.993866606822262,27.04985443447038,2.794418179533214,1.5907332387791744,3.1079824021543985,19.913811238779175,16.150374402154398,13.7364061005386,4.960775048473968,3.616301317773788,1.5544831095152603,4.113422298025134,4.8055510592459605,0.058726750448833034,0.0015285457809694795,0.4647756793536804
20,-11723.150637300843,-69.16463720679475,22.126040815370196,24.001610168697287,17.77087549203374,2.8454945876288655,1.5960487910028116,3.1237547047797563,11.352161574507965,6.032201630740394,8.27656217900656,4.887525210871603,5.539293280224929,3.784588617619494,1.68704633552015,2.6086851640112463,0.016247891283973758,0.0766733833177132,0.4310130295220244
21,-11718.746,-49.61461737588651,20.13803070921986,16.972851985815602,24.27537680851064,2.8002295035460993,1.5907271702127657,3.1164571347517733,7.908123836879433,12.81450276595745,12.406483439716311,4.720521099290781,3.755975758865248,5.321049687943262,1.6481087517730497,2.6050385531914895,0.05804609929078014,0.05619219858156029,0.45297129361702126
22,-11687.760500000002,-37.88121484601923,13.659821153846154,12.068467230769231,14.88975075,2.820164384615384,1.6079530384615384,3.182121173076923,12.099427076923078,9.712838557692308,9.185814826923075,5.4128366923076925,4.621535692307692,3.2926114230769223,3.1674360576923077,1.6359358846153844,0.005142307692307693,0.07734807692307692,0.40714987884615383
23,-11692.08526618705,-41.845296481870506,22.74666417266187,21.15951784172662,22.92900820143885,2.79913218705036,1.5914113093525182,3.1134500143884893,12.02362650359712,13.146206230215828,11.887125784172662,4.253788633093525,5.309100863309353,3.6318958848920864,1.7701216834532376,2.5398411079136696,0.058132374100719426,0.0016978417266187054,0.4542058244604317
24,-11712.20154460719,-46.73234278383487,20.881858988015978,20.451296138482025,19.736161784287614,2.8290873901464715,1.5918985086551265,3.0986879893475363,10.590431411451398,9.202888109187748,7.226520199733689,4.537178042609854,5.405978681757658,3.8340060585885487,1.951594447403462,2.000622050599201,0.03585619174434088,1.9973368841544607e-05,0.45644334354194405
25,-11720.934182754181,-59.973440997297295,23.901189703989704,20.724893693693694,23.367414929214924,2.7989885199485203,1.6021285199485202,3.150002406692407,16.026738918918916,18.025447606177604,15.323648429858428,4.393916473616474,5.487032792792792,3.909686602316602,1.7107417374517373,2.4224475804375807,0.05955855855855856,0.00019562419562419562,0.34682427413127404
26,-11680.124921524663,-65.48975426513454,17.264783127802694,19.128017993273545,19.96283587443946,2.794495375560538,1.599243340807175,3.1233937219730943,5.126040919282511,8.407895117713005,9.778444125560537,5.058544047085201,3.634675532511211,1.5667049943946192,4.641608256726457,4.3129579988789235,0.05417264573991033,0.003510089686098655,0.4358445644618834
27,-11697.56292882147,-55.15196997322054,24.163835880980166,20.614404375729286,26.066288098016337,2.830372893815636,1.5929044165694284,3.1257373862310383,15.274046616102686,16.616732812135357,13.871383255542591,4.017174859976663,5.749043483080514,4.72429747957993,2.571477217036173,1.556885064177363,0.05112485414235707,0.007284130688448076,0.4513420933488915
28,-11652.125060240962,-34.20330216559639,19.228308433734938,20.118436746987953,18.315208433734938,2.8448015060240963,1.5953398795180724,3.120736325301205,9.21855361445783,7.081647409638554,8.514702771084336,4.320329759036145,3.6899042771084334,1.6345196987951807,4.563855602409638,3.3166054216867464,0.0128855421686747,0.012957831325301204,0.52425228313253
29,-11676.363523158694,-53.22899463644647,24.489797722095673,22.460100227790434,23.500522019741837,2.794988253606682,1.6056365223993927,3.1208497418375094,14.124157752467731,13.453937562642368,10.15706138952164,4.883831397114655,3.702079126803341,1.5752157479119209,4.5576881928625665,4.3302844646924825,0.06102581624905088,0.0024457099468488995,0.4602751913439635
30,-11731.5925982256,-46.30536547275032,18.493393662864385,16.946422433460075,19.10201153358682,2.7948433967046897,1.6027600253485423,3.1073628263624844,6.60539310519645,8.00401082382763,7.341955817490495,4.513569556400507,5.444899860583017,3.880574866920152,1.7731943726235744,2.2437076552598225,0.05906210392902409,0.00020152091254752852,0.45592920785804814
31,-11509.817966101695,-13.756485003898305,25.217961016949147,25.057294915254232,25.102425423728814,2.8012545762711865,1.5823432203389831,3.0496079661016946,14.335829322033897,14.541127118644066,14.439181355932206,5.117622542372882,3.5731505084745767,1.5779057627118647,3.9768713559322033,4.72421220338983,0.05840677966101694,0.010898305084745763,0.6798008305084747
32,-11576.819259259259,-24.983376577777783,24.18783209876543,24.7685975308642,22.248124691358022,2.835067530864198,1.5902886419753086,3.0828437037037038,12.783605802469136,10.9688012345679,11.354137654320988,4.7744438271604945,7.409078765432099,7.961121975308641,3.9345149382716045,4.570397407407408,0.04659259259259258,0.01745679012345679,0.561381938271605
33,-11714.451398305084,-51.55054482838981,18.215455720338984,20.26519216101695,17.929168855932204,2.8009324364406782,1.5909206355932204,3.09821904661017,6.6438341313559315,6.526665953389831,8.688174618644071,4.392199597457626,5.325593792372881,3.638561080508475,1.624925995762712,2.5320536016949156,0.061368644067796595,0.0023241525423728818,0.4595814851694914
34,-11690.917313653137,-40.60796570036901,14.86970118081181,17.280188708487085,15.960791143911441,2.833977225092251,1.5948030258302581,3.1164312177121776,5.127950435424355,7.186714273062731,8.362459446494466,4.8437154022140225,5.233614095940959,3.589623911439115,2.3443798671586715,2.503476428044281,0.0357970479704797,1.5498154981549817e-05,0.44173283247232475
35,-11690.269440879927,-38.33232672502291,17.642919523373052,18.25737937671861,19.568367919340055,2.807675527039413,1.6027738313473876,3.1242816131989004,8.662689156736938,10.978162080659946,11.031864142988086,4.842414051329056,6.313654491292392,5.102473877176902,2.313902181484876,1.665631145737855,0.03463886342804766,0.00011090742438130157,0.46338305866177815
36,-11663.92786427146,-37.986816307385226,18.99711636726547,19.6708630738523,21.643983033932134,2.8301822155688625,1.5929081037924149,3.1088063872255494,9.1395225748503,11.446842255489024,10.888019840319359,4.493623193612774,5.482749740518963,3.8934064670658683,1.784236806387226,2.163868083832335,0.031467065868263484,2.3952095808383234e-05,0.5025163473053891
