0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His129_Asp,dist_His129_Asp2,sasaSer,sasaSer133,sasaLig
47,-11637.019220636665,-53.35209306037322,21.47923874862788,20.062860373216246,19.187393413830957,2.8125441931942916,1.5839078924259056,3.0808583095499453,9.964929088913282,9.706499198682764,7.909230746432491,4.598329099890231,3.2176492755214046,4.13942054884742,0.005277716794731066,0.00014379802414928651,0.45523284632272226
48,-11644.674638949673,-33.27273081925602,22.928430853391685,20.703677024070018,20.817338949671772,2.807304266958424,1.5802252078774617,3.063798905908096,10.68568794310722,8.725243216630197,5.798677811816192,4.216515579868709,1.7433900875273523,3.0738119037199123,0.002065645514223195,0.0025426695842450764,0.4582192844638949
49,-11655.686186006827,-37.44367057935153,22.431424829351535,20.06968395904437,23.82139411262799,2.82021635665529,1.587067372013652,3.0949464590443685,10.926283822525598,13.535444223549488,11.20798104095563,4.486728114334471,1.627868532423208,3.1905364249146757,0.0028984641638225253,0.05402474402730376,0.4659482116040956
50,-11670.952443636363,-53.057816773599995,22.21862472727273,18.953831854545456,24.690831418181816,2.837162821818182,1.5929979854545455,3.096917476363636,9.029394909090911,12.340748967272727,10.36398893818182,5.167375847272727,6.308147098181818,6.800090836363635,0.015546181818181822,0.019410181818181816,0.5014013701818182
51,-11647.561174351586,-47.52498845302594,18.958089481268008,15.753862824207493,18.707380475504323,2.8186889121037466,1.5853525504322763,3.101818782420749,7.4611483285302596,7.32267090778098,4.382056347262248,4.80610590778098,4.923933357348703,3.371977514409222,0.02470317002881844,0.004324927953890489,0.4976816563400577
52,-11657.923872017354,-47.1989546972885,20.072098806941437,16.686103579175704,22.295380802603034,2.8131373210412147,1.5809088394793926,3.079530216919739,8.707911876355748,11.4882223318872,9.116948839479393,4.369235010845988,1.555819197396963,3.0756288937093275,0.0031138828633405645,0.05148156182212582,0.46311518872017354
53,-11667.161263888887,-55.65623006944445,21.450434722222226,19.882183055555554,21.08429222222222,2.7932330833333334,1.5788926944444446,3.0647388194444445,8.775917124999998,9.738443680555557,8.265224833333331,4.015585472222222,1.5557099999999997,2.9659509027777777,0.00022500000000000005,0.020420833333333333,0.4380162736111111
54,-11566.039333333334,-12.887454974814816,28.21851407407408,27.569038518518518,27.90683851851852,2.80918874074074,1.5790082222222221,3.0481944444444444,17.559132296296298,17.300246740740743,16.507565111111116,4.4245919259259265,2.975605777777778,4.803711925925925,0.0024148148148148154,0.015466666666666667,0.6234352
55,-11666.599513513513,-38.58848356068796,21.48541646191646,20.775999213759214,20.747914987714985,2.8397622113022116,1.5951793906633907,3.1153336756756755,15.459771926289925,15.59079316953317,13.892481002457004,3.790882638820639,3.3237564766584766,1.9639016314496314,0.03346683046683047,0.032843734643734655,0.4611462923832924
56,-11651.882819277107,-27.724247792771088,20.05606297188755,23.169217269076306,22.067200883534134,2.8027187469879515,1.5905685381526105,3.0856298955823296,11.268288514056223,11.092082232931729,14.726609341365462,3.2214493012048195,1.5973466827309237,2.9970682570281126,0.0010851405622489961,0.007118072289156626,0.5025455823293172
