0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His_Glu,dist_His_Glu2,sasaSer,sasaSer133,sasaLig
26,-11543.166153846152,-2.379189627472528,30.913830769230767,30.468859340659343,31.121746153846154,2.828048021978022,1.5841063736263734,3.0698623076923073,19.85061098901099,20.188257802197803,19.484092307692308,4.571211318681319,1.6058464835164836,2.51335989010989,0.007835164835164835,0.07425274725274723,0.7075815934065934
27,-11556.297171717171,-30.013373764646467,23.31587171717171,21.54805151515151,24.882690909090908,2.8355491919191915,1.584936868686869,3.082462525252526,11.542102020202021,13.45770242424242,12.286856262626266,4.954210303030303,2.5117515151515146,3.0256310101010087,0.016141414141414137,0.0031616161616161618,0.5720467575757576
28,-11521.644722222221,-3.8794887763888894,28.963791666666673,28.732883333333334,29.608481944444446,2.8203744444444445,1.5748366666666667,3.0519716666666667,18.630488888888888,19.59161527777778,19.529016666666667,4.506802638888889,2.0496277777777774,2.868485,0.004777777777777778,0.0023611111111111116,0.7268406388888888
29,-11405.900769230766,-13.72577073076923,23.313165384615388,23.065326923076928,23.694023076923074,2.8311896153846154,1.5803126923076927,2.9626115384615384,11.233946153846155,12.165392692307694,11.883089230769231,4.446287307692308,1.9515546153846155,2.934392307692307,0.010346153846153847,0.02426923076923077,0.7287793076923076
30,-11540.496410256412,-9.985240853846154,26.405641025641017,26.74491666666667,27.196001282051277,2.8333391025641026,1.5813773076923074,3.053998076923077,14.855485641025647,15.987046794871794,16.145764102564097,4.160308205128205,2.0293094871794874,2.7190682051282056,0.014769230769230765,0.025525641025641026,0.6830671538461538
31,-11516.883370786518,-2.3054820404494385,30.310751685393257,29.83276179775281,32.08684269662922,2.82346202247191,1.583531797752809,3.0709278651685397,18.918031460674158,20.84875393258427,20.473521348314605,4.382454606741573,2.4260915730337076,1.7503278651685392,0.006629213483146068,0.0015505617977528091,0.7194515617977528
32,-11542.337303370785,-32.95603310449438,21.860357303370787,22.55120786516854,19.24986179775281,2.830469550561798,1.5862119101123597,3.071116404494382,10.202391011235955,7.4532737078651685,8.273866067415732,5.084694719101123,1.8814073033707868,2.9618122471910113,0.021438202247191007,0.015089887640449438,0.5746678764044943
33,-11399.73777777778,-7.671436066666666,24.822462962962963,24.894596296296296,23.94725185185185,2.8225111111111114,1.5765966666666666,2.975954814814815,13.440821851851853,13.431065925925926,12.843758888888889,3.9870274074074077,1.796138888888889,2.487982962962963,0.00974074074074074,0.011185185185185185,0.7668602962962964
34,-11518.972615384617,-7.463377066153846,24.10098923076923,23.60451846153846,23.504292307692307,2.829218769230769,1.579225230769231,3.044433692307692,13.574435384615384,13.07122123076923,12.14670969230769,4.648004923076924,2.453337846153846,3.1848483076923078,0.010953846153846154,0.0036153846153846154,0.6971079692307692
35,-11441.80864864865,-9.533886324324325,25.735102702702704,25.505710810810807,25.359391891891892,2.8330491891891896,1.581003243243243,3.0040764864864866,14.36816972972973,14.22723945945946,13.331368378378377,4.095567027027027,4.274557567567567,4.350958108108107,0.012351351351351353,0.04248648648648649,0.751698
36,-11543.076266666669,-20.802639198666665,21.660261333333327,20.653790666666666,21.385486666666672,2.8249513333333334,1.5834982666666666,3.0567210666666664,11.027226000000002,11.689832933333335,10.536904666666668,4.4121216,2.0168492,2.336253066666667,0.009400000000000002,0.00042666666666666667,0.6141681866666665
37,-11589.924736842104,-43.932997491228065,23.91204298245614,21.181943859649117,24.35094035087719,2.7974459649122805,1.5803171052631577,3.071867280701754,12.763252982456137,14.600930701754384,12.690449561403508,3.997128245614035,2.4914228070175435,1.8647571052631577,0.00362280701754386,0.035754385964912275,0.4968859912280702
