#Task    Step    numberOfAcceptedPeleSteps    currentEnergy    bindingE1    dist_1    dist_2    dist_3    sasaLig1    
1    1192    177    -19740.4    -12.3498    26.4766    27.0815    25.3913    0.50071    
1    1196    178    -19741.3    -13.2964    28.3731    25.8975    25.706    0.546187    
1    1201    179    -19740.2    -12.9256    28.3344    25.7576    28.572    0.581696    
1    1202    180    -19740.5    -12.3827    27.3336    27.1303    27.3183    0.580912    
1    1214    181    -19737.9    -9.63668    26.0298    29.8441    28.0798    0.551216    
1    1216    182    -19740.3    -11.6665    27.2782    25.7217    28.151    0.517879    
1    1220    183    -19739.8    -9.46074    27.9105    28.2479    26.6684    0.609133    
1    1222    184    -19740.5    -13.4068    27.3574    25.6364    27.9889    0.516213    
1    1226    185    -19737.5    -11.8594    28.5429    25.1101    27.1799    0.585558    
1    1228    186    -19744    -14.8191    26.3658    29.0443    27.0213    0.544513    
1    1253    187    -19739.7    -13.4794    28.779    25.9442    25.8066    0.583955    
1    1254    188    -19743.7    -14.1265    28.8036    25.0886    28.9542    0.602577    
1    1307    189    -19744.2    -18.3269    27.618    27.2508    25.5519    0.52431    
1    1393    190    -19743    -17.9732    25.9949    26.1955    25.8853    0.553802    
1    1429    191    -19739.8    -12.4028    28.4461    25.9642    25.8481    0.597975    
1    1434    192    -19740.6    -11.8377    26.0809    29.4583    27.8146    0.566197    
1    1435    193    -19738.8    -8.39402    29.473    25.4611    28.7465    0.671579    
1    1438    194    -19738.7    -9.22533    27.925    31.4786    26.5237    0.661981    
1    1439    195    -19735.6    -10.2118    29.0296    25.4504    29.2318    0.640137    
1    1440    196    -19737    -12.8952    25.6322    26.8913    29.3983    0.593786    
1    1441    197    -19740.2    -14.1795    26.308    28.1684    26.4134    0.581127    
1    1446    198    -19741.1    -14.0803    26.1205    25.6853    29.7191    0.606315    
1    1470    199    -19740.6    -12.1305    28.6779    27.807    26.1535    0.553409    
1    1473    200    -19744.2    -18.4254    28.0298    26.2869    26.6668    0.504998    
1    1474    201    -19736.5    -9.6244    26.5339    26.6523    28.6812    0.645833    
1    1475    202    -19738.7    -11.2324    26.4674    28.5377    29.7681    0.626735    
1    1476    203    -19740.5    -12.2595    26.7072    26.3424    29.4043    0.578166    
1    1480    204    -19738.3    -9.082    29.1847    27.6509    26.9386    0.67729    
1    1486    205    -19736    -7.28934    27.322    28.0262    29.5651    0.639814    
1    1489    206    -19742.8    -17.242    26.7749    29.0849    25.5295    0.581958    
1    1495    207    -19739.9    -16.2179    25.2711    27.3668    27.7572    0.541096    
1    1505    208    -19738.1    -12.1554    27.4001    29.7007    25.1598    0.621812    
1    1508    209    -19737.6    -8.60341    30.0257    29.2718    27.545    0.633316    
1    1509    210    -19737.7    -9.50577    28.6461    26.4232    31.9354    0.658901    
1    1510    211    -19742.6    -12.2103    26.9721    27.639    29.3713    0.623297    
1    1516    212    -19735.9    -5.58496    27.7414    28.5656    28.2129    0.690805    
1    1517    213    -19738.8    -11.2716    27.149    28.2571    28.0598    0.639024    
1    1519    214    -19742.9    -14.174    27.3751    28.8575    25.5166    0.59051    
1    1521    215    -19740.6    -10.4533    29.1587    27.1337    28.447    0.72756    
1    1522    216    -19738.1    -9.00734    27.1239    27.0204    27.6981    0.699772    
1    1526    217    -19740.9    -10.1528    27.9573    25.7786    25.2865    0.638092    
1    1545    218    -19740.6    -17.2502    25.4806    26.9137    27.062    0.594965    
1    1551    219    -19739.9    -15.8562    28.3672    25.4834    25.1265    0.609256    
1    1555    220    -19740    -14.7058    28.4437    25.3166    24.8558    0.551576    
1    1567    221    -19740.2    -13.9104    27.1593    24.9895    23.9982    0.599508    
