#Task    Step    numberOfAcceptedPeleSteps    currentEnergy    bindingE1    dist_1    dist_2    dist_3    sasaLig1    
1    775    124    -19623    -22.8454    36.4301    33.2314    37.1222    0.559211    
1    776    125    -19620.8    -19.1982    34.2599    36.807    34.1492    0.590071    
1    780    126    -19628.1    -23.733    36.3304    33.3314    34.7059    0.536779    
1    1128    127    -19621.7    -19.9285    33.9973    34.3449    35.9527    0.546704    
1    1129    128    -19614.3    -20.6411    37.1596    34.2629    33.595    0.557252    
1    1131    129    -19622    -19.9534    34.7555    33.6237    37.3607    0.569871    
1    1171    130    -19622.7    -24.17    35.3022    37.3211    33.774    0.575083    
1    1172    131    -19624.9    -22.0591    34.0753    34.3096    37.2517    0.596155    
1    1188    132    -19627.3    -23.7915    36.9451    36.3881    33.4009    0.617484    
1    1236    133    -19628.3    -24.0408    33.9807    33.9639    36.9524    0.549621    
1    1274    134    -19626.6    -21.3044    37.0046    35.8052    33.264    0.607987    
1    1346    135    -19627.6    -22.9521    34.8693    34.6515    37.3283    0.588413    
1    1354    136    -19626.7    -23.3257    36.3566    33.5981    33.21    0.553491    
1    1361    137    -19620.1    -25.7815    34.0187    34.137    33.839    0.523147    
1    1391    138    -19613.6    -25.066    33.5858    36.0834    32.9529    0.432696    
1    1393    139    -19620.3    -27.0177    35.9309    33.7411    34.171    0.50752    
1    1422    140    -19616.2    -20.6011    33.8582    34.6826    33.6938    0.468418    
1    1424    141    -19615.6    -21.3032    34.6956    33.6725    33.9503    0.50892    
1    1425    142    -19614.6    -18.5042    33.6593    37.7658    33.7296    0.534038    
1    1437    143    -19613.5    -11.9762    34.9942    33.1215    38.3454    0.647063    
1    1438    144    -19619.1    -16.1117    33.8342    36.0108    34.731    0.618739    
1    1443    145    -19619.7    -22.8796    33.4011    35.3965    34.0178    0.51317    
1    1451    146    -19623.1    -27.697    35.5175    33.766    32.7817    0.450021    
1    1454    147    -19618.1    -18.1175    36.5801    33.5808    34.6549    0.623515    
1    1457    148    -19624.7    -25.6413    35.4408    34.5911    32.7503    0.479194    
1    1465    149    -19625.2    -26.2717    34.8836    32.875    33.2203    0.533295    
